COD_ID;DIST;PAC_1;PAC_2;PAC_3;FAS_CON_P;FAS_CON_S;FAS_CON_T;SIT_ATIV;TIP_UNID;POS;ATRB_PER;TEN_LIN_SE;CAP_ELO;CAP_CHA;TAP;CONF;POSTO;POT_NOM;PER_FER;PER_TOT;DAT_CON;CTMT;UNI_TR_S;SUB;CONJ;MUN;BANC;TIP_TRAFO;MRT;DESCR;ARE_LOC;geometry;eu_dis_trs;dist_mar;main_r_dist;n_close_con;is_urb;closest_trd_i;closest_trd_dist;NODE;ENDNODE;g_degree;g_avg_ndeg;g_pagerank;dist_to_trs
4_1040341;46;452971;ET4_1040341;0;ABC;ABCN;0;AT;38;PD;1;0.22;05H;1;1.0;RA;PT;15.0;100.0;440.0;30/09/2010;2_SESAQ_1;1_SESAQ_1;SESAQ;12737;2805802;0;T;0; ;NU;POINT (627712.6169779997 8776098.670127511);-1;65956.1895187612;3868.8296909919645;1;False;2054;182.47357502462663;45297;44304;2;2.0;1.1782686341248332e-05;8170.229999999999
4_1040306;46;452681;ET4_1040306;0;ABC;ABCN;0;AT;38;PD;1;0.22;05H;1;1.0;RA;PT;15.0;100.0;440.0;15/03/2011;2_SESAQ_1;1_SESAQ_1;SESAQ;12737;2805802;0;T;0; ;NU;POINT (626353.4179798126 8777498.606078334);-1;67798.25911914062;5529.165861999482;1;False;4111;668.6819124658571;45268;44304;1;2.0;7.175068960511034e-06;10274.810000000005
7_2070013;46;600021;ET7_2070013;0;ABC;ABCN;0;AT;38;O;2;0.38;5H;1;1.0;RA;PT;112.5;440.0;1990.0;30/09/2010;1_SEITI_1;1_SEITI_1;SEITI;15601;2803005;0;T;0; ;UB;POINT (632355.4149737856 8753247.956105636);-1;50560.23212601068;1.9985457040822983;195;True;6269;35.6638254344641;60002;48689;1;3.0;6.0924359863638305e-06;1090.4700000000003
4_1040035;46;462831;ET4_1040035;ET4_1040035;AB;AN;BN;AT;38;PD;1;0.23;1H;1;1.0;RA;PT;15.0;85.0;355.0;30/09/2010;2_SESAQ_1;1_SESAQ_1;SESAQ;12737;2805802;0;MT;0; ;NU;POINT (635724.1370160332 8773322.662057359);-1;57554.07363667851;1420.5888092902658;14;False;8962;191.94049967422845;46283;44304;2;2.0;1.2098335269066976e-05;15507.339999999993
13_1130368;46;148261;ET13_1130368;0;ABC;ABCN;0;AT;38;PD;1;0.38;2H;1;1.0;RA;PT;45.0;220.0;1000.0;18/10/2013;1_SETMG_1;2_SETMG_1;SETMG;12743;2917904;0;T;0; ;NU;POINT (631104.5580278498 8720058.23505237);-1;36539.00241924071;5473.898753338045;4;False;5214;58.16634769806252;14826;17749;2;2.5;1.0912509376209831e-05;29516.52000000001
4_1040036;46;465251;ET4_1040036;ET4_1040036;AB;AN;BN;AT;38;PD;1;0.23;05H;1;1.0;RA;PT;10.0;60.0;260.0;30/09/2010;2_SESAQ_1;1_SESAQ_1;SESAQ;12737;2805802;0;MT;0; ;NU;POINT (638696.4859638879 8773991.73208276);-1;55256.92404451248;1913.237588022989;9;False;4781;189.77295922633687;46525;44304;1;3.0;6.0924359863638305e-06;18841.78999999999
4_1040038;46;464061;ET4_1040038;ET4_1040038;AB;AN;BN;AT;38;PD;1;0.23;05H;1;1.0;RA;PT;10.0;60.0;260.0;30/09/2010;2_SESAQ_1;1_SESAQ_1;SESAQ;12737;2805802;0;MT;0; ;NU;POINT (638310.7990282972 8773035.106081862);-1;55132.71638105929;2745.2510167887726;10;False;4404;236.1200886100245;46406;44304;2;2.0;1.242612454026326e-05;20346.479999999985
6_1060355;46;255701;ET6_1060355;0;ABC;ABCN;0;AT;38;PD;1;0.22;05H;1;1.0;RA;PT;15.0;100.0;440.0;24/09/2010;2_SETMG_1;2_SETMG_1;SETMG;12743;2807501;0;T;0; ;NU;POINT (623701.882989638 8737730.572129583);-1;51109.88323851252;4972.818755077927;1;False;8589;562.5657013825221;25570;19980;1;3.0;6.0924359863638305e-06;6742.64
4_1040039;46;435371;ET4_1040039;ET4_1040039;AB;AN;BN;AT;38;PD;1;0.22;1H;1;0.957;RA;PT;15.0;100.0;440.0;30/09/2010;2_SESAQ_1;1_SESAQ_1;SESAQ;12737;2805802;0;MT;0; ;NU;POINT (638236.557017495 8772759.907124765);-1;55068.10873829672;2992.619334649101;6;False;6;285.03743991817004;43537;44304;2;2.0;1.1989072178668214e-05;20227.919999999984
4_1040349;46;407551;ET4_1040349;ET4_1040349;AB;AN;BN;AT;38;PD;1;0.22;05H;1;0.957;RA;PT;10.0;60.0;260.0;30/09/2010;2_SESAQ_1;1_SESAQ_1;SESAQ;12737;2805802;0;MT;0; ;NU;POINT (626993.9699670533 8775185.164044609);-1;66205.19747342981;3131.479063637329;0;False;2523;866.074222744661;40755;44304;2;2.0;1.2098335269066976e-05;8683.749999999998
